Station,StationUniqueId,Id,Type,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,IsManagedByTfL,AskStaff,RadarKey,OpeningHours,OpensWithStation,ClosesWithStation,MonOpening1,MonClosing1,MonOpening2,MonClosing2,TueOpening1,TueClosing1,TueOpening2,TueClosing2,WedOpening1,WedClosing1,WedOpening2,WedClosing2,ThuOpening1,ThuClosing1,ThuOpening2,ThuClosing2,FriOpening1,FriClosing1,FriOpening2,FriClosing2,SatOpening1,SatClosing1,SatOpening2,SatClosing2,SunOpening1,SunClosing1,SunOpening2,SunClosing2,BankHolidayOpening1,BankHolidayClosing1,BankHolidayOpening2,BankHolidayClosing2
,910GHAYESAH,2,Male,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GHAYESAH,3,Female,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GHOXTON,1,Unisex,TRUE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GHRLDWOD,1,Male,FALSE,FALSE,TRUE,Located on platform 3,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GHRLDWOD,2,Female,FALSE,FALSE,TRUE,Located on platform 3,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GHRLDWOD,3,Unisex,TRUE,FALSE,TRUE,Located on platform 3,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GILFORD,1,Male,FALSE,FALSE,TRUE,Located on platform 3,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GILFORD,2,Female,FALSE,FALSE,TRUE,Located on platform 3,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GILFORD,3,Unisex,TRUE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GIVER,1,Unisex,TRUE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GLANGLEY,1,Male,FALSE,FALSE,FALSE,Located outside station entrance,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GLANGLEY,2,Female,FALSE,FALSE,FALSE,Located outside station entrance,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GLANGLEY,3,Unisex,TRUE,FALSE,FALSE,Located outside station entrance,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GMANRPK,1,Unisex,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GMRYLAND,1,Unisex,TRUE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GMDNHEAD,1,Male,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GMDNHEAD,2,Female,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GMDNHEAD,3,Unisex,TRUE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GPENEW,1,Male,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GPENEW,2,Female,FALSE,TRUE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GPENEW,3,Unisex,TRUE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GRDNGSTN,1,Male,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GRDNGSTN,2,Female,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GRDNGSTN,3,Unisex,TRUE,TRUE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GROMFORD,1,Male,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GROMFORD,2,Female,FALSE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GROMFORD,3,Unisex,TRUE,FALSE,TRUE,Located on platform 4,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSHENFLD,1,Male,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSHENFLD,2,Female,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSHENFLD,3,Unisex,TRUE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSHRDHST,1,Unisex,TRUE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSLOUGH,1,Male,FALSE,FALSE,TRUE,Located on platforms 1 & 5,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSLOUGH,2,Female,FALSE,FALSE,TRUE,Located on platforms 1 & 5,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSLOUGH,3,Unisex,TRUE,FALSE,TRUE,Located on platforms 1 & 5,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSTHALL,1,Male,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSTHALL,2,Female,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GSTHALL,3,Unisex,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
